,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
92,Meghalaya,Tura,SALENG A SANGMA,Indian National Congress,383919,AGATHA K SANGMA,National People's Party,228678,155241
93,Mizoram,MIZORAM,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,208552,K VANLALVENA,Mizo National Front,140264,68288
94,Nagaland,Nagaland,S SUPONGMEREN JAMIR,Indian National Congress,401951,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,350967,50984
95,Odisha,Bargarh,PRADEEP PUROHIT,Bharatiya Janata Party,716359,PARINITA MISHRA,Biju Janata Dal,464692,251667
96,Odisha,Sundargarh,JUAL ORAM,Bharatiya Janata Party,494282,DILIP KUMAR TIRKEY,Biju Janata Dal,355474,138808
97,Odisha,Sambalpur,DHARMENDRA PRADHAN,Bharatiya Janata Party,592162,PRANAB PRAKASH DAS,Biju Janata Dal,472326,119836
98,Odisha,Keonjhar,ANANTA NAYAK,Bharatiya Janata Party,573923,DHANURJAYA SIDU,Biju Janata Dal,476881,97042
99,Odisha,Mayurbhanj,NABA CHARAN MAJHI,Bharatiya Janata Party,585971,SUDAM MARNDI,Biju Janata Dal,366637,219334
100,Odisha,Balasore,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,563865,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,416709,147156
101,Odisha,Bhadrak,AVIMANYU SETHI,Bharatiya Janata Party,573319,MANJULATA MANDAL,Biju Janata Dal,481775,91544
102,Odisha,Jajpur,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,534239,SARMISTHA SETHI,Biju Janata Dal,532652,1587
103,Odisha,Dhenkanal,RUDRA NARAYAN PANY,Bharatiya Janata Party,598721,ABINASH SAMAL,Biju Janata Dal,522154,76567
104,Punjab,Gurdaspur,SUKHJINDER SINGH RANDHAWA,Indian National Congress,364043,DINESH SINGH BABBU,Bharatiya Janata Party,281182,82861
105,Punjab,Amritsar,GURJEET SINGH AUJLA,Indian National Congress,255181,KULDEEP SINGH DHALIWAL,Aam Aadmi Party,214880,40301
106,Punjab,Khadoor Sahib,AMRITPAL SINGH,Independent,404430,KULBIR SINGH ZIRA,Indian National Congress,207310,197120
107,Punjab,Jalandhar,CHARANJIT SINGH CHANNI,Indian National Congress,390053,SUSHIL KUMAR RINKU,Bharatiya Janata Party,214060,175993
108,Punjab,Hoshiarpur,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,303859,YAMINI GOMAR,Indian National Congress,259748,44111
109,Punjab,Anandpur Sahib,MALVINDER SINGH KANG,Aam Aadmi Party,313217,VIJAY INDER SINGLA,Indian National Congress,302371,10846
110,Punjab,Ludhiana,AMRINDER SINGH RAJA WARRING,Indian National Congress,322224,RAVNEET SINGH BITTU,Bharatiya Janata Party,301282,20942
111,Punjab,Fatehgarh Sahib,AMAR SINGH,Indian National Congress,332591,GURPREET SINGH GP,Aam Aadmi Party,298389,34202
112,Punjab,Faridkot,SARABJEET SINGH KHALSA,Independent,298062,KARAMJIT SINGH ANMOL,Aam Aadmi Party,228009,70053
113,Rajasthan,GANGANAGAR,KULDEEP INDORA,Indian National Congress,726492,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,638339,88153
114,Rajasthan,BIKANER,ARJUN RAM MEGHWAL,Bharatiya Janata Party,566737,GOVINDRAM MEGHWAL,Indian National Congress,511026,55711
115,Rajasthan,CHURU,RAHUL KASWAN,Indian National Congress,728211,DEVENDRA JHAJHARIA,Bharatiya Janata Party,655474,72737
116,Rajasthan,JHUNJHUNU,BRIJENDRA SINGH OLA,Indian National Congress,553168,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,534933,18235
117,Rajasthan,SIKAR,AMRARAM,Communist Party of India  (Marxist),659300,SUMEDHANAND SARASWATI,Bharatiya Janata Party,586404,72896
118,Rajasthan,JAIPUR RURAL,RAO RAJENDRA SINGH,Bharatiya Janata Party,617877,ANIL CHOPRA,Indian National Congress,616262,1615
119,Rajasthan,JAIPUR,MANJU SHARMA,Bharatiya Janata Party,886850,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,555083,331767
120,Rajasthan,ALWAR,BHUPENDER YADAV,Bharatiya Janata Party,631992,LALIT YADAV,Indian National Congress,583710,48282
121,Rajasthan,BHARATPUR,SANJNA JATAV,Indian National Congress,579890,RAMSWAROOP KOLI,Bharatiya Janata Party,527907,51983
122,Sikkim,Sikkim,INDRA HANG SUBBA,Sikkim Krantikari Morcha,164396,BHARAT BASNETT,Citizen Action Party-Sikkim,83566,80830
