,State,Assembly Constituency,Winner,Winner Party,Winner Votes,Runner-up,Runner-up Party,Runner-up Votes,Margin
225,Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,928941,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,503716,425225
226,Madhya Pradesh,UJJAIN,ANIL FIROJIYA,Bharatiya Janata Party,836104,MAHESH PARMAR,Indian National Congress,460244,375860
227,Madhya Pradesh,MANDSOUR,SUDHEER GUPTA,Bharatiya Janata Party,945761,DILIP SINGH GURJAR,Indian National Congress,445106,500655
228,Madhya Pradesh,RATLAM,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,795863,KANTILAL BHURIA,Indian National Congress,588631,207232
229,Madhya Pradesh,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,794449,RADHESHYAM MUVEL,Indian National Congress,575784,218665
230,Madhya Pradesh,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,1226751,SANJAY S/O LAKSHMAN SOLANKI,Bahujan Samaj Party,51659,1008077
231,Madhya Pradesh,KHARGONE,GAJENDRA SINGH PATEL,Bharatiya Janata Party,819863,PORLAL BATHA KHARTE,Indian National Congress,684845,135018
232,Madhya Pradesh,KHANDWA,GYANESHWAR PATIL,Bharatiya Janata Party,862679,NARENDRA PATEL,Indian National Congress,592708,269971
233,Madhya Pradesh,BETUL,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,848236,RAMU TEKAM,Indian National Congress,468475,379761
234,Maharashtra,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,655027,VIKAS THAKRE,Indian National Congress,517424,137603
235,Maharashtra,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,587413,SUNIL BABURAO MENDHE,Bharatiya Janata Party,550033,37380
236,Maharashtra,Gadchiroli - Chimur,DR. KIRSAN  NAMDEO,Indian National Congress,617792,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,476096,141696
237,Maharashtra,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,718410,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,458004,260406
238,Maharashtra,Yavatmal- Washim,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),594807,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,500334,94473
239,Maharashtra,Hingoli,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),492535,BABURAO KADAM KOHALIKAR,Shiv Sena,383933,108602
240,Maharashtra,Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,469452,59442
241,Maharashtra,Parbhani,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),601343,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,467282,134061
242,Maharashtra,Jalna,KALYAN VAIJINATHRAO KALE,Indian National Congress,607897,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,497939,109958
243,Maharashtra,Aurangabad,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,476130,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,341480,134650
244,Maharashtra,Dindori,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,577339,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,464140,113199
245,Maharashtra,Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729,GODSE HEMANT TUKARAM,Shiv Sena,454728,162001
246,Maharashtra,Palghar,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),417938,183306
247,Maharashtra,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,499464,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,433343,66121
248,Maharashtra,Kalyan,DR SHRIKANT EKNATH SHINDE,Shiv Sena,589636,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),380492,209144
249,Maharashtra,Thane,NARESH GANPAT MHASKE,Shiv Sena,734231,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),517220,217011
250,Maharashtra,Mumbai North,PIYUSH GOYAL,Bharatiya Janata Party,680146,BHUSHAN PATIL,Indian National Congress,322538,357608
251,Maharashtra,Mumbai North West,RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),452596,48
252,Maharashtra,Mumbai North East,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),450937,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,421076,29861
253,Maharashtra,Mumbai North Central,GAIKWAD VARSHA EKNATH,Indian National Congress,445545,ADV UJWAL NIKAM,Bharatiya Janata Party,429031,16514
254,Maharashtra,Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),395138,RAHUL RAMESH SHEWALE,Shiv Sena,341754,53384
255,Maharashtra,Mumbai South,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),395655,YAMINI YASHWANT JADHAV,Shiv Sena,342982,52673
256,Maharashtra,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),425568,82784
257,Maharashtra,Maval,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692832,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),596217,96615
258,Maharashtra,Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,584728,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461690,123038
259,Maharashtra,Baramati,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,732312,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,573979,158333
260,Maharashtra,Shirur,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,698692,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,557741,140951
261,Maharashtra,Ahmednagar,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,624797,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,595868,28929
262,Maharashtra,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),476900,LOKHANDE SADASHIV KISAN,Shiv Sena,426371,50529
263,Maharashtra,Beed,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,683950,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,677397,6553
264,Maharashtra,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,418906,329846
265,Maharashtra,Latur,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,609021,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,547140,61881
266,Maharashtra,Solapur,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,620225,RAM VITTHAL SATPUTE,Bharatiya Janata Party,546028,74197
267,Maharashtra,Madha,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,622213,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,501376,120837
268,Maharashtra,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,571666,SANJAY (KAKA) PATIL,Bharatiya Janata Party,471613,100053
269,Maharashtra,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,571134,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,538363,32771
270,Maharashtra,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,448514,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),400656,47858
271,Maharashtra,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,754522,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,599558,154964
272,Maharashtra,Hatkanangale,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,520190,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),506764,13426
273,Odisha,Bolangir,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,617744,SURENDRA SINGH BHOI,Biju Janata Dal,485080,132664
274,Odisha,Kalahandi,MALVIKA DEVI,Bharatiya Janata Party,544303,LAMBODAR NIAL,Biju Janata Dal,410490,133813
275,Odisha,Nabarangpur,BALABHADRA MAJHI,Bharatiya Janata Party,481396,PRADEEP KUMAR MAJHI,Biju Janata Dal,393860,87536
276,Odisha,Kandhamal,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,416415,ACHYUTANANDA SAMANTA,Biju Janata Dal,395044,21371
277,Odisha,Cuttack,BHARTRUHARI MAHTAB,Bharatiya Janata Party,531601,SANTRUPT MISRA,Biju Janata Dal,474524,57077
278,Odisha,Kendrapara,BAIJAYANT PANDA,Bharatiya Janata Party,615705,ANSHUMAN MOHANTY,Biju Janata Dal,549169,66536
279,Odisha,Jagatsinghpur,BIBHU PRASAD TARAI,Bharatiya Janata Party,589093,DR. RAJASHREE MALLICK,Biju Janata Dal,548397,40696
280,Odisha,Puri,SAMBIT PATRA,Bharatiya Janata Party,629330,ARUP MOHAN PATNAIK,Biju Janata Dal,524621,104709
281,Odisha,Bhubaneswar,APARAJITA SARANGI,Bharatiya Janata Party,512519,MANMATH KUMAR ROUTRAY,Biju Janata Dal,477367,35152
282,Odisha,Aska,ANITA SUBHADARSHINI,Bharatiya Janata Party,494226,RANJITA SAHU,Biju Janata Dal,394252,99974
283,Odisha,Berhampur,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,513102,BHRUGU BAXIPATRA,Biju Janata Dal,347626,165476
284,Odisha,Koraput,SAPTAGIRI SANKAR ULAKA,Indian National Congress,471393,KAUSALYA HIKAKA,Biju Janata Dal,323649,147744
285,Punjab,Firozpur,SHER SINGH GHUBAYA,Indian National Congress,266626,JAGDEEP SINGH KAKA BRAR,Aam Aadmi Party,263384,3242
286,Punjab,Bathinda,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,376558,GURMEET SINGH KHUDIAN,Aam Aadmi Party,326902,49656
287,Punjab,Sangrur,GURMEET SINGH MEET HAYER,Aam Aadmi Party,364085,SUKHPAL SINGH KHAIRA,Indian National Congress,191525,172560
288,Punjab,Patiala,DR DHARAMVIRA GANDHI,Indian National Congress,305616,DR BALBIR SINGH,Aam Aadmi Party,290785,14831
289,Rajasthan,KARAULI-DHOLPUR,BHAJAN LAL JATAV,Indian National Congress,530011,INDU DEVI,Bharatiya Janata Party,431066,98945
290,Rajasthan,DAUSA,MURARI LAL MEENA,Indian National Congress,646266,KANHAIYA LAL MEENA,Bharatiya Janata Party,408926,237340
291,Rajasthan,TONK-SAWAI MADHOPUR,HARISH CHANDRA MEENA,Indian National Congress,623763,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,558814,64949
292,Rajasthan,AJMER,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,747462,RAMCHANDRA CHOUDHARY,Indian National Congress,417471,329991
293,Rajasthan,NAGAUR,HANUMAN BENIWAL,Rashtriya Loktantrik Party,596955,JYOTI MIRDHA,Bharatiya Janata Party,554730,42225
294,Rajasthan,PALI,P. P. CHAUDHARY,Bharatiya Janata Party,757389,SANGEETA BENIWAL,Indian National Congress,512038,245351
295,Rajasthan,JODHPUR,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,730056,KARAN SINGH UCHIYARDA,Indian National Congress,614379,115677
296,Rajasthan,BARMER,UMMEDA RAM BENIWAL,Indian National Congress,704676,RAVINDRA SINGH BHATI,Independent,586500,118176
297,Rajasthan,JALORE,LUMBARAM,Bharatiya Janata Party,796783,VAIBHAV GEHLOT,Indian National Congress,595240,201543
298,Rajasthan,UDAIPUR,MANNA LAL RAWAT,Bharatiya Janata Party,738286,TARACHAND MEENA,Indian National Congress,476678,261608
299,Rajasthan,BANSWARA,RAJ KUMAR ROAT,Bharat Adivasi Party,820831,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,573777,247054
300,Rajasthan,CHITTORGARH,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,888202,ANJANA UDAILAL,Indian National Congress,498325,389877
301,Rajasthan,RAJSAMAND,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,781203,DR. DAMODAR GURJAR,Indian National Congress,388980,392223
302,Rajasthan,BHILWARA,DAMODAR AGARWAL,Bharatiya Janata Party,807640,C P JOSHI,Indian National Congress,453034,354606
303,Rajasthan,KOTA,OM BIRLA,Bharatiya Janata Party,750496,PRAHLAD GUNJAL,Indian National Congress,708522,41974
304,Rajasthan,JHALAWAR-BARAN,DUSHYANT SINGH,Bharatiya Janata Party,865376,URMILA JAIN “BHAYA”,Indian National Congress,494387,370989
305,Tamil Nadu,DHARMAPURI,MANI. A.,Dravida Munnetra Kazhagam,432667,SOWMIYA ANBUMANI,Pattali Makkal Katchi,411367,21300
306,Tamil Nadu,TIRUVANNAMALAI,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,547379,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,313448,233931
307,Tamil Nadu,ARANI,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,500099,"GAJENDRAN, G.V.",All India Anna Dravida Munnetra Kazhagam,291333,208766
308,Tamil Nadu,VILUPPURAM,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,477033,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,406330,70703
309,Tamil Nadu,KALLAKURICHI,MALAIYARASAN D,Dravida Munnetra Kazhagam,561589,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,507805,53784
310,Tamil Nadu,SALEM,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,566085,VIGNESH P,All India Anna Dravida Munnetra Kazhagam,495728,70357
311,Tamil Nadu,NAMAKKAL,MATHESWARAN V S,Dravida Munnetra Kazhagam,462036,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,432924,29112
312,Tamil Nadu,ERODE,K E PRAKASH,Dravida Munnetra Kazhagam,562339,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,325773,236566
313,Tamil Nadu,TIRUPPUR,"SUBBARAYAN, K.",Communist Party of India,472739,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,346811,125928
314,Tamil Nadu,NILGIRIS,RAJA A,Dravida Munnetra Kazhagam,473212,DR MURUGAN L,Bharatiya Janata Party,232627,240585
315,Tamil Nadu,COIMBATORE,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,568200,ANNAMALAI K,Bharatiya Janata Party,450132,118068
316,Tamil Nadu,POLLACHI,ESWARASAMY K,Dravida Munnetra Kazhagam,533377,KARTHIKEYAN A,All India Anna Dravida Munnetra Kazhagam,281335,252042
317,Tamil Nadu,DINDIGUL,SACHITHANANTHAM R,Communist Party of India  (Marxist),670149,MOHAMED MUBARAK M A,All India Anna Dravida Munnetra Kazhagam,226328,443821
318,Tamil Nadu,KARUR,JOTHIMANI. S,Indian National Congress,534906,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam,368090,166816
319,Tamil Nadu,TIRUCHIRAPPALLI,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,542213,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,229119,313094
320,Tamil Nadu,PERAMBALUR,ARUN NEHRU,Dravida Munnetra Kazhagam,603209,CHANDRAMOHAN N D,All India Anna Dravida Munnetra Kazhagam,214102,389107
321,Tamil Nadu,CUDDALORE,M.K. VISHNUPRASAD,Indian National Congress,455053,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam,269157,185896
322,Tamil Nadu,CHIDAMBARAM,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,505084,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,401530,103554
323,Tamil Nadu,MAYILADUTHURAI,SUDHA R,Indian National Congress,518459,BABU P,All India Anna Dravida Munnetra Kazhagam,247276,271183
324,Tamil Nadu,NAGAPATTINAM,SELVARAJ V,Communist Party of India,465044,DR SURSITH SANKAR G,All India Anna Dravida Munnetra Kazhagam,256087,208957
325,Tamil Nadu,THANJAVUR,MURASOLI S,Dravida Munnetra Kazhagam,502245,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,182662,319583
326,Tamil Nadu,SIVAGANGA,KARTI P CHIDAMBARAM,Indian National Congress,427677,XAVIERDASS A,All India Anna Dravida Munnetra Kazhagam,222013,205664
327,Tamil Nadu,MADURAI,VENKATESAN S,Communist Party of India  (Marxist),430323,RAAMA SREENIVASAN,Bharatiya Janata Party,220914,209409
328,Tamil Nadu,THENI,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,571493,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,292668,278825
329,Tamil Nadu,VIRUDHUNAGAR,MANICKAM TAGORE B,Indian National Congress,385256,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,380877,4379
330,Tamil Nadu,RAMANATHAPURAM,NAVASKANI K,Indian Union Muslim League,509664,PANNEERSELVAM O S/O OTTAKARATHEVAR,Independent,342882,166782
331,Tamil Nadu,THOOTHUKKUDI,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,540729,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,147991,392738
332,Tamil Nadu,TENKASI,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,425679,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,229480,196199
333,Tamil Nadu,TIRUNELVELI,ROBERT BRUCE C,Indian National Congress,502296,NAINAR NAGENTHRAN,Bharatiya Janata Party,336676,165620
334,Tamil Nadu,KANNIYAKUMARI,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,546248,RADHAKRISHNAN P,Bharatiya Janata Party,366341,179907
335,Uttar Pradesh,Meerut,ARUN GOVIL,Bharatiya Janata Party,546469,SUNITA VERMA,Samajwadi Party,535884,10585
336,Uttar Pradesh,Baghpat,DR RAJKUMAR SANGWAN,Rashtriya Lok Dal,488967,AMARPAL,Samajwadi Party,329508,159459
337,Uttar Pradesh,Ghaziabad,ATUL GARG,Bharatiya Janata Party,854170,DOLLY SHARMA,Indian National Congress,517205,336965
338,Uttar Pradesh,Gautam Buddha Nagar,DR. MAHESH SHARMA,Bharatiya Janata Party,857829,DR. MAHENDRA SINGH NAGAR,Samajwadi Party,298357,559472
339,Uttar Pradesh,Bulandshahr,DR BHOLA SINGH,Bharatiya Janata Party,597310,SHIVRAM,Indian National Congress,322176,275134
340,Uttar Pradesh,Aligarh,SATISH KUMAR GAUTAM,Bharatiya Janata Party,501834,BIJENDRA SINGH,Samajwadi Party,486187,15647
341,Uttar Pradesh,Hathras,ANOOP PRADHAN BALMIKI,Bharatiya Janata Party,554746,JASVEER VALMIKI,Samajwadi Party,307428,247318
342,Uttar Pradesh,Mathura,HEMAMALINI DHARMENDRA DEOL,Bharatiya Janata Party,510064,MUKESH DHANGAR,Indian National Congress,216657,293407
343,Uttar Pradesh,Agra,PROF S P SINGH BAGHEL,Bharatiya Janata Party,599397,SURESH CHAND KARDAM,Samajwadi Party,328103,271294
344,Uttar Pradesh,Fatehpur Sikri,RAJKUMAR CHAHAR,Bharatiya Janata Party,445657,RAMNATH SINGH SIKARWAR,Indian National Congress,402252,43405
345,Uttar Pradesh,Firozabad,AKSHAYA YADAV,Samajwadi Party,543037,VISHWADEEP SINGH,Bharatiya Janata Party,453725,89312
346,Uttar Pradesh,Mainpuri,DIMPLE YADAV,Samajwadi Party,598526,JAYVEER SINGH,Bharatiya Janata Party,376887,221639
347,Uttar Pradesh,Etah,DEVESH SHAKYA,Samajwadi Party,475808,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party,447756,28052
348,Uttar Pradesh,Badaun,ADITYA YADAV,Samajwadi Party,501855,DURVIJAY SINGH SHAKYA,Bharatiya Janata Party,466864,34991
349,Uttar Pradesh,Aonla,NEERAJ MAURYA,Samajwadi Party,492515,DHARMENDRA KASHYAP,Bharatiya Janata Party,476546,15969
350,Uttar Pradesh,Bareilly,CHHATRA PAL SINGH GANGWAR,Bharatiya Janata Party,567127,PRAVEEN SINGH ARON,Samajwadi Party,532323,34804
351,Uttar Pradesh,Pilibhit,JITIN PRASADA,Bharatiya Janata Party,607158,BHAGWAT SARAN GANGWAR,Samajwadi Party,442223,164935
352,Uttar Pradesh,Shahjahanpur,ARUN KUMAR SAGAR,Bharatiya Janata Party,592718,JYOTSNA GOND,Samajwadi Party,537339,55379
353,Uttar Pradesh,Kheri,UTKARSH VERMA  'MADHUR',Samajwadi Party,557365,AJAY KUMAR,Bharatiya Janata Party,523036,34329
354,Uttar Pradesh,Dhaurahra,ANAND BHADAURIYA,Samajwadi Party,443743,REKHA VERMA,Bharatiya Janata Party,439294,4449
355,Uttar Pradesh,Sitapur,RAKESH RATHOR,Indian National Congress,531138,RAJESH VERMA,Bharatiya Janata Party,441497,89641
356,Uttar Pradesh,Hardoi,JAI PRAKASH,Bharatiya Janata Party,486798,USHA VERMA,Samajwadi Party,458942,27856
357,Uttar Pradesh,Misrikh,ASHOK KUMAR RAWAT,Bharatiya Janata Party,475016,SANGITA RAJVANSHI,Samajwadi Party,441610,33406
358,Uttar Pradesh,Unnao,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,616133,ANNU TANDON,Samajwadi Party,580315,35818
359,Uttar Pradesh,Mohanlalganj,R.K. CHAUDHARY,Samajwadi Party,667869,KAUSHAL KISHORE,Bharatiya Janata Party,597577,70292
360,Uttar Pradesh,Lucknow,RAJ NATH SINGH,Bharatiya Janata Party,612709,RAVIDAS MEHROTRA,Samajwadi Party,477550,135159
361,Uttar Pradesh,Rae Bareli,RAHUL GANDHI,Indian National Congress,687649,DINESH PRATAP SINGH,Bharatiya Janata Party,297619,390030
362,Uttar Pradesh,Amethi,KISHORI LAL,Indian National Congress,539228,SMRITI IRANI,Bharatiya Janata Party,372032,167196
363,Uttar Pradesh,Sultanpur,RAMBHUAL NISHAD,Samajwadi Party,444330,MANEKA SANJAY GANDHI,Bharatiya Janata Party,401156,43174
364,Uttar Pradesh,Pratapgarh,SHIV PAL SINGH PATEL (DR. S P SINGH),Samajwadi Party,441932,SANGAM LAL GUPTA,Bharatiya Janata Party,375726,66206
365,Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,Bharatiya Janata Party,487963,DR. NAVAL KISHOR SHAKYA,Samajwadi Party,485285,2678
366,Uttar Pradesh,Etawah,JITENDRA KUMAR DOHARE,Samajwadi Party,490747,DR RAM SHANKAR KATHERIA,Bharatiya Janata Party,432328,58419
367,Uttar Pradesh,Kannauj,AKHILESH YADAV,Samajwadi Party,642292,SUBRAT PATHAK,Bharatiya Janata Party,471370,170922
368,Uttar Pradesh,Kanpur,RAMESH AWASTHI,Bharatiya Janata Party,443055,ALOK MISRA,Indian National Congress,422087,20968
369,Uttar Pradesh,Akbarpur,DEVENDRA SINGH ALIAS BHOLE SINGH,Bharatiya Janata Party,517423,RAJARAM PAL,Samajwadi Party,473078,44345
370,Uttar Pradesh,Jalaun,NARAYAN DAS AHIRWAR,Samajwadi Party,530180,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,476282,53898
371,Uttar Pradesh,Jhansi,ANURAG SHARMA,Bharatiya Janata Party,690316,"PRADEEP JAIN ""ADITYA""",Indian National Congress,587702,102614
372,Uttar Pradesh,Hamirpur,AJENDRA SINGH LODHI,Samajwadi Party,490683,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,488054,2629
373,Uttar Pradesh,Banda,KRISHNA DEVI SHIVSHANKER PATEL,Samajwadi Party,406567,R. K. SINGH PATEL,Bharatiya Janata Party,335357,71210
374,Uttar Pradesh,Fatehpur,NARESH CHANDRA UTTAM PATEL,Samajwadi Party,500328,NIRANJAN JYOTI,Bharatiya Janata Party,467129,33199
375,Uttar Pradesh,Kaushambi,PUSHPENDRA SAROJ,Samajwadi Party,509787,VINOD KUMAR SONKAR,Bharatiya Janata Party,405843,103944
376,Uttar Pradesh,Phulpur,PRAVEEN PATEL,Bharatiya Janata Party,452600,AMAR NATH SINGH MAURYA,Samajwadi Party,448268,4332
377,Uttar Pradesh,Allahabad,UJJWAL RAMAN SINGH,Indian National Congress,462145,NEERAJ TRIPATHI,Bharatiya Janata Party,403350,58795
378,Uttar Pradesh,Barabanki,TANUJ PUNIA,Indian National Congress,719927,RAJRANI RAWAT,Bharatiya Janata Party,504223,215704
379,Uttar Pradesh,Faizabad,AWADHESH PRASAD,Samajwadi Party,554289,LALLU SINGH,Bharatiya Janata Party,499722,54567
380,Uttar Pradesh,Ambedkar Nagar,LALJI VERMA,Samajwadi Party,544959,RITESH PANDEY,Bharatiya Janata Party,407712,137247
381,Uttar Pradesh,Baharaich,ANAND KUMAR,Bharatiya Janata Party,518802,RAMESH CHANDRA,Samajwadi Party,454575,64227
382,Uttar Pradesh,Kaiserganj,KARAN BHUSHAN SINGH,Bharatiya Janata Party,571263,BHAGAT RAM,Samajwadi Party,422420,148843
383,Uttar Pradesh,Shrawasti,RAM SHIROMANI VERMA,Samajwadi Party,511055,SAKET MISRA,Bharatiya Janata Party,434382,76673
384,Uttar Pradesh,Gonda,KIRTIVARDHAN SINGH,Bharatiya Janata Party,474258,SHREYA VERMA,Samajwadi Party,428034,46224
385,Uttar Pradesh,Domariyaganj,JAGDAMBIKA PAL,Bharatiya Janata Party,463303,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,Samajwadi Party,420575,42728
386,Uttar Pradesh,Basti,RAM PRASAD CHAUDHARY,Samajwadi Party,527005,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,426011,100994
387,Uttar Pradesh,Sant Kabir Nagar,LAXMIKANT PAPPU NISHAD,Samajwadi Party,498695,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,406525,92170
388,Uttar Pradesh,Maharajganj,PANKAJ CHAUDHARY,Bharatiya Janata Party,591310,VIRENDRA CHAUDHARY,Indian National Congress,555859,35451
389,Uttar Pradesh,Gorakhpur,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,585834,KAJAL NISHAD,Samajwadi Party,482308,103526
390,Uttar Pradesh,Kushi Nagar,VIJAY KUMAR DUBAY,Bharatiya Janata Party,516345,AJAY PRATAP SINGH URF PINTU SAITHWAR,Samajwadi Party,434555,81790
391,Uttar Pradesh,Deoria,SHASHANK MANI,Bharatiya Janata Party,504541,AKHILESH PRATAP SINGH,Indian National Congress,469699,34842
392,Uttar Pradesh,Bansgaon,KAMLESH PASWAN,Bharatiya Janata Party,428693,SADAL PRASAD,Indian National Congress,425543,3150
393,Uttar Pradesh,Lalganj,DAROGA PRASAD SAROJ,Samajwadi Party,439959,NEELAM SONKER,Bharatiya Janata Party,324936,115023
